
Task 26: B (1000): 944 -> 944 = (-0.0), max 11229, ROI = -100.0%

Task 27: C (2000): 1221 -> 763 = (+4212.0), max 11229, ROI = 110.6%
Task 27: CC (4000): 1221 -> 551 = (+6161.7), max 11229, ROI = 54.0%
Task 27: CCC (6000): 1221 -> 463 = (+6971.0), max 11229, ROI = 16.2%
Task 27: CCCC (8000): 1221 -> 410 = (+7458.4), max 11229, ROI = -6.8%
Task 27: B (1000): 1221 -> 1233 = (--110.4), max 11229, ROI = -111.0%

Task 28: C (2000): 1097 -> 702 = (+4043.3), max 11229, ROI = 102.2%
Task 28: CC (4000): 1097 -> 477 = (+6346.4), max 11229, ROI = 58.7%
Task 28: CCC (6000): 1097 -> 407 = (+7062.9), max 11229, ROI = 17.7%
Task 28: CCCC (8000): 1097 -> 396 = (+7175.5), max 11229, ROI = -10.3%
Task 28: B (1000): 1097 -> 1097 = (-0.0), max 11229, ROI = -100.0%

Task 29: C (2000): 882 -> 530 = (+4481.4), max 11229, ROI = 124.1%
Task 29: CC (4000): 882 -> 353 = (+6734.9), max 11229, ROI = 68.4%
Task 29: CCC (6000): 882 -> 319 = (+7167.7), max 11229, ROI = 19.5%
Task 29: CCCC (8000): 882 -> 290 = (+7536.9), max 11229, ROI = -5.8%
Task 29: B (1000): 882 -> 882 = (-0.0), max 11229, ROI = -100.0%

Task 30: C (2000): 739 -> 474 = (+3982.9), max 11107, ROI = 99.1%
Task 30: CC (4000): 739 -> 322 = (+6267.4), max 11107, ROI = 56.7%
Task 30: CCC (6000): 739 -> 265 = (+7124.1), max 11107, ROI = 18.7%
Task 30: CCCC (8000): 739 -> 240 = (+7499.9), max 11107, ROI = -6.3%
Task 30: B (1000): 739 -> 761 = (--330.7), max 11107, ROI = -133.1%

Task 31: C (2000): 1209 -> 801 = (+3789.4), max 11229, ROI = 89.5%
Task 31: CC (4000): 1209 -> 595 = (+5702.7), max 11229, ROI = 42.6%
Task 31: CCC (6000): 1209 -> 467 = (+6891.6), max 11229, ROI = 14.9%
Task 31: CCCC (8000): 1209 -> 398 = (+7532.4), max 11229, ROI = -5.8%
Task 31: B (1000): 1209 -> 1276 = (--622.3), max 11229, ROI = -162.2%

Task 32: C (2000): 1197 -> 913 = (+2664.2), max 11229, ROI = 33.2%
Task 32: CC (4000): 1197 -> 642 = (+5206.4), max 11229, ROI = 30.2%
Task 32: CCC (6000): 1197 -> 518 = (+6369.7), max 11229, ROI = 6.2%
Task 32: CCCC (8000): 1197 -> 445 = (+7054.5), max 11229, ROI = -11.8%
Task 32: B (1000): 1197 -> 1203 = (--56.3), max 11229, ROI = -105.6%

Task 33: C (2000): 1085 -> 694 = (+4046.6), max 11229, ROI = 102.3%
Task 33: CC (4000): 1085 -> 522 = (+5826.7), max 11229, ROI = 45.7%
Task 33: CCC (6000): 1085 -> 413 = (+6954.7), max 11229, ROI = 15.9%
Task 33: CCCC (8000): 1085 -> 380 = (+7296.3), max 11229, ROI = -8.8%
Task 33: B (1000): 1085 -> 1111 = (--269.1), max 11229, ROI = -126.9%

Task 34: C (2000): 1268 -> 794 = (+4197.6), max 11229, ROI = 109.9%
Task 34: CC (4000): 1268 -> 535 = (+6491.2), max 11229, ROI = 62.3%
Task 34: CCC (6000): 1268 -> 415 = (+7553.9), max 11229, ROI = 25.9%
Task 34: CCCC (8000): 1268 -> 401 = (+7677.9), max 11229, ROI = -4.0%
Task 34: B (1000): 1268 -> 1273 = (--44.3), max 11229, ROI = -104.4%

Task 35: C (2000): 1001 -> 697 = (+3410.2), max 11229, ROI = 70.5%
Task 35: CC (4000): 1001 -> 500 = (+5620.1), max 11229, ROI = 40.5%
Task 35: CCC (6000): 1001 -> 393 = (+6820.4), max 11229, ROI = 13.7%
Task 35: CCCC (8000): 1001 -> 374 = (+7033.5), max 11229, ROI = -12.1%
Task 35: B (1000): 1001 -> 1007 = (--67.3), max 11229, ROI = -106.7%

Task 36: C (2000): 555 -> 318 = (+4795.1), max 11229, ROI = 139.8%
Task 36: CC (4000): 555 -> 284 = (+5483.0), max 11229, ROI = 37.1%
Task 36: CCC (6000): 555 -> 236 = (+6454.1), max 11229, ROI = 7.6%
Task 36: CCCC (8000): 555 -> 214 = (+6899.3), max 11229, ROI = -13.8%
Task 36: B (1000): 555 -> 595 = (--809.3), max 11229, ROI = -180.9%

Task 37: C (2000): 1067 -> 669 = (+4188.5), max 11229, ROI = 109.4%
Task 37: CC (4000): 1067 -> 493 = (+6040.7), max 11229, ROI = 51.0%
Task 37: CCC (6000): 1067 -> 405 = (+6966.8), max 11229, ROI = 16.1%
Task 37: CCCC (8000): 1067 -> 355 = (+7493.0), max 11229, ROI = -6.3%
Task 37: B (1000): 1067 -> 1125 = (--610.4), max 11229, ROI = -161.0%

Task 38: C (2000): 704 -> 482 = (+3541.0), max 11229, ROI = 77.0%
Task 38: CC (4000): 704 -> 331 = (+5949.5), max 11229, ROI = 48.7%
Task 38: CCC (6000): 704 -> 314 = (+6220.6), max 11229, ROI = 3.7%
Task 38: CCCC (8000): 704 -> 276 = (+6826.7), max 11229, ROI = -14.7%
Task 38: B (1000): 704 -> 714 = (--159.5), max 11229, ROI = -116.0%

Task 39: C (2000): 790 -> 501 = (+4107.8), max 11229, ROI = 105.4%
Task 39: CC (4000): 790 -> 393 = (+5642.9), max 11229, ROI = 41.1%
Task 39: CCC (6000): 790 -> 339 = (+6410.5), max 11229, ROI = 6.8%
Task 39: CCCC (8000): 790 -> 284 = (+7192.2), max 11229, ROI = -10.1%
Task 39: B (1000): 790 -> 790 = (-0.0), max 11229, ROI = -100.0%

Task 40: C (2000): 1035 -> 718 = (+3439.2), max 11229, ROI = 72.0%
Task 40: CC (4000): 1035 -> 493 = (+5880.3), max 11229, ROI = 47.0%
Task 40: CCC (6000): 1035 -> 402 = (+6867.6), max 11229, ROI = 14.5%
